Name,Region,Image,IsDisbanded,RenamedTo,IsLowercase,Short,OverviewPage
Fenris eSports Academy Blue,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Fenris eSports Academy Bluelogo square.png,1,,0,FES,Fenris eSports Academy Blue
Fervent Esports,SEA,https://lol.fandom.com/wiki/Special:Redirect/file/Fervent Esportslogo square.png,0,,0,FVE,Fervent Esports
FH eSports,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/FH eSportslogo square.png,1,,0,FH,FH eSports
Fiction eSports,North America,https://lol.fandom.com/wiki/Special:Redirect/file/fictioneSports.png,1,,0,FCN,Fiction eSports
Fidelis,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Fidelislogo square.png,1,,0,FD,Fidelis
Final Five,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Final Five Logo infobox.png,1,Vortex (North American Team),0,F5,Final Five
Final Form,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Final Formlogo square.png,1,,0,FFE,Final Form
Finetwork KOI,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/KOI Academylogo square.png,1,,0,FNK,KOI Academy
Fire Dragoon Esports,SEA,https://lol.fandom.com/wiki/Special:Redirect/file/Fire_Dragoon_Newtext_square.png,1,,0,FDG,Fire Dragoon Esports
Fireball,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/Fireballlogo square.png,1,,0,FBL,Fireball
First Blood Crusade,North America,https://lol.fandom.com/wiki/Special:Redirect/file/First Blood Crusadelogo square.png,1,,0,FBC,First Blood Crusade
Fish Dive Team,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/Fish Dive Teamlogo square.png,1,,0,FD,Fish Dive Team
Fisher College,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/Fisher Collegelogo square.png,0,,0,FC,Fisher College
Fission Esports,North America,https://lol.fandom.com/wiki/Special:Redirect/file/FIS logo.png,1,,0,FIS,Fission Esports
Five Kings,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Five Kingslogo square.png,1,,0,5K,Five Kings
Flama Esports,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Flama Esportslogo square.png,1,,0,FL,Flama Esports
FlameHard,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/FlameHardlogo square.png,0,,0,FLH,FlameHard
Flamengo Academy,Brazil,https://lol.fandom.com/wiki/Special:Redirect/file/Flamengo Academylogo square.png,1,,0,FLA.A,Flamengo Academy
Flamengo MDL,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/Flamengo MDLlogo profile.png,0,,0,FLA,Flamengo MDL
Flash Husky,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/Flash Huskylogo square.png,1,,0,FH,Flash Husky
Flash Wolves,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/Flash Wolves logo.png,1,,0,FW,Flash Wolves
Flash Wolves Junior,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/Flash Wolves logo.png,1,Flash Husky,0,FWJ,Flash Wolves Junior
Flashdive,SEA,https://lol.fandom.com/wiki/Special:Redirect/file/Flashdive logo.jpg,1,MiTH Flashdive,0,FD,Flashdive
Flayn eSports,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Flayn eSportslogo square.png,1,,0,FYN,Flayn eSports
Flayn eSports CZSK Edition,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Flayn eSports CZSK Editionlogo square.png,1,,0,FYN.CZ,Flayn eSports CZSK Edition
Florida Southern College,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/Florida Southern Collegelogo square.png,0,,0,FSC,Florida Southern College
Florida State Esports Garnet,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/Florida State Universitylogo profile.png,0,,0,FSU,Florida State University
Fløng Esports Elite,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Fløng Esports Elitelogo square.png,1,,0,FLG.E,Fløng Esports Elite
Fluffy Tail,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Fluffy Taillogo square.png,1,,0,FT,Fluffy Tail
Fluxo,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/Fluxologo square.png,1,Fluxo W7M,0,FX,Fluxo
Fluxo Academy,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/Fluxo Academylogo square.png,1,,0,FX.A,Fluxo Academy
Fluxo W7M,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/Fluxo W7Mlogo square.png,0,,0,FX7M,Fluxo W7M
FLY FAM,North America,https://lol.fandom.com/wiki/Special:Redirect/file/FLY FAMlogo square.png,1,,0,FLYF,FLY FAM
Fly Family,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Fly Familylogo square.png,1,,0,FF,Fly Family
FLY5,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/FLY5logo square.png,1,,0,FLY5,FLY5
FLY5 Academy,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/FLY5 Academylogo square.png,1,,0,FLY5A,FLY5 Academy
FlyQuest,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/FlyQuestlogo profile.png,0,,0,FLY,FlyQuest
FlyQuest Academy,North America,https://lol.fandom.com/wiki/Special:Redirect/file/FlyQuestlogo profile.png,1,FlyQuest Challengers,0,FLY.A,FlyQuest Academy
FlyQuest NZXT,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/FlyQuest NZXTlogo square.png,1,,0,FLYC,FlyQuest NZXT
FM eSports,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/FM eSportssquare.png,1,,0,FM,FM eSports
FN Esports,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/FN Esportslogo square.png,0,,0,FN,FN Esports
Fnatic,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Fnaticlogo square.png,0,,0,FNC,Fnatic
Fnatic Academy,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Fnatic Academylogo square.png,1,Fnatic Rising,0,FNC.A,Fnatic Academy
Fnatic Rising,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Fnatic Risinglogo square.png,1,Fnatic TQ,0,FNC.R,Fnatic Rising
Fnatic TQ,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Fnatic TQlogo square.png,1,,0,FNTQ,Fnatic TQ
Fog Esports,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Fog Esportslogo square.png,0,,0,FOG,Fog Esports
Footprint Gaming,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Footprint Gaminglogo square.png,0,,0,FPG,Footprint Gaming
For The Win,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/Unknown Infobox Image - Team.png,1,,0,FOR,For The Win
For The Win Esports,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/For The Win Esportslogo square.png,0,,0,FTW,For The Win Esports
Force of Nature,LAS,https://lol.fandom.com/wiki/Special:Redirect/file/Force Of Naturelogo square.png,1,,0,FON,Force Of Nature (Latin American Team)
Forger Esports,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/Forger Esportslogo square.png,1,,0,FGE,Forger Esports
Formulation Gaming,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Formulation Gaminglogo square.png,1,,0,FMG,Formulation Gaming
Forsaken,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Forsaken (Polish Team)logo square.png,0,,0,FSK,Forsaken (Polish Team)
Fortius,SEA,https://lol.fandom.com/wiki/Special:Redirect/file/Fortiuslogo_square.png,1,,0,FTS,Fortius
Fortress Esports,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Fortress Esportslogo square.png,0,,0,FTS,Fortress Esports
Fortune Makers,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Fortune Makerslogo square.png,1,Melilla Fortune,0,FMK,Fortune Makers
Fourth Wall,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Fourth Walllogo profile.png,1,,0,4W,Fourth Wall
Fox B,Korea,https://lol.fandom.com/wiki/Special:Redirect/file/Fox Blogo square.png,1,,0,Fox B,Fox B
Fox Gaming,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Fox Gaminglogo square.png,0,,0,F0X,Fox Gaming
FoxFire,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/FoxFire (Turkish Team)logo square.png,1,,0,FXF,FoxFire (Turkish Team)
FPT Hanoi,Vietnam,https://lol.fandom.com/wiki/Special:Redirect/file/FPT Hanoilogo square.png,1,,0,FPTHN,FPT Hanoi
FPT Ho Chi Minh,Vietnam,https://lol.fandom.com/wiki/Special:Redirect/file/FPT Ho Chi Minhlogo square.png,1,,0,FPTHCM,FPT Ho Chi Minh
Fractious eSports,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Fractious eSportslogo profile.png,0,,0,FRAC,Fractious eSports
Frag eXecutors,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/fragxlogo.png,1,,0,Fx,Frag eXecutors
Fram Reykjavík Esports,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Fram Reykjavík Esportslogo square.png,1,Tindastóll,0,FRAM,Fram Reykjavík Esports
Frank Esports,Asia Pacific,https://lol.fandom.com/wiki/Special:Redirect/file/Frank Esportslogo profile.png,0,,0,FAK,Frank Esports
Frank Esports Academy,Asia Pacific,https://lol.fandom.com/wiki/Special:Redirect/file/Frank Esports Academylogo square.png,0,,0,FAKA,Frank Esports Academy
Frank Fang Gaming,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Frank Fang Gaminglogo square.png,1,,0,FFG,Frank Fang Gaming
Fraternitas,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Fraternitaslogo square.png,1,,0,FTS,Fraternitas
Freedom Dive,LAS,https://lol.fandom.com/wiki/Special:Redirect/file/Freedom Divelogo square.png,1,,0,FDV,Freedom Dive
FreePi,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/FreePilogo square.png,1,,0,FIP,FreePi
Freshsterious,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Freshsteriouslogo square.png,1,,0,FRS,Freshsterious
Friends Forever Gaming,Vietnam,https://lol.fandom.com/wiki/Special:Redirect/file/Friends Forever Gaminglogo profile.png,1,Lowkey Esports.Vietnam,0,FFQ,Friends Forever Gaming
Froggy Five,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Froggy Fivelogo square.png,1,,0,FROG,Froggy Five
FROM ZERO TO HERO,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/FROM ZERO TO HEROlogo square.png,1,,0,Z2H,FROM ZERO TO HERO
Frost Aura,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Frost Auralogo square.png,1,,0,FA,Frost Aura
FrostFire,North America,https://lol.fandom.com/wiki/Special:Redirect/file/FrostFire (North American Team)logo square.png,1,,0,FF,FrostFire (North American Team)
FroztFire Team,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/FroztFire Teamlogo square.png,1,,0,FzF,FroztFire Team
Fruition Esports,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Fruition Esportslogo square.png,1,,0,FRE,Fruition Esports
FS Gaming,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/FS Gaminglogo square.png,1,,0,FSG,FS Gaming
FTV Esports,Vietnam,https://lol.fandom.com/wiki/Special:Redirect/file/FTV Esportslogo profile.png,1,,0,FTV,FTV Esports
Fuego,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/Fuegologo profile.png,0,,0,FUE,Fuego
Fugitive Gaming,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Fugitive Gaminglogo square.png,1,,0,FUG,Fugitive Gaming
Fukuoka SoftBank HAWKS gaming,Asia Pacific,https://lol.fandom.com/wiki/Special:Redirect/file/Fukuoka_SoftBank_HAWKS_gaminglogo_profile.png,0,,0,SHG,Fukuoka SoftBank HAWKS gaming
Fukuoka Softbank HAWKS gaming Academy,Asia Pacific,https://lol.fandom.com/wiki/Special:Redirect/file/Fukuoka SoftBank HAWKS gaming Academylogo square.png,1,,0,SHG.A,Fukuoka SoftBank HAWKS gaming Academy
Full Louis,SEA,https://lol.fandom.com/wiki/Special:Redirect/file/Full Louis logo 2015.png,1,,0,FL,Full Louis
Full Sense,Asia Pacific,https://lol.fandom.com/wiki/Special:Redirect/file/Full Senselogo profile.png,0,,0,FS,Full Sense
Full Spectrum,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Full Spectrumlogo square.png,1,,0,FS,Full Spectrum
Fullclear Esports,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Fullclear Esportslogo square.png,1,,0,FC,Fullclear Esports
FunPlus Phoenix,China,https://lol.fandom.com/wiki/Special:Redirect/file/FunPlus Phoenixlogo_square.png,0,,0,FPX,FunPlus Phoenix
FunPlus Phoenix Blaze,China,https://lol.fandom.com/wiki/Special:Redirect/file/FunPlus Phoenix Blazelogo square.png,1,,0,FPB,FunPlus Phoenix Blaze
FURIA,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/FURIAlogo profile.png,0,,0,FUR,FURIA
FURIA Youth,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/FURIA Esportslogo profile.png,0,,0,FUR.Y,FURIA Youth
Furious Five,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Furious Fivelogo square.png,1,,0,F5,Furious Five
Furious Gaming,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/FG logo.png,0,,0,FG,Furious Gaming
Furious Gaming Academy,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/FG logo.png,1,,0,FG.A,Furious Gaming Academy
Furious Gaming Argentina,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/FG logo.png,1,,0,FG.AR,Furious Gaming Argentina
Furious Gaming Chile,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/FG logo.png,1,,0,FG.CL,Furious Gaming Chile
Furious Gaming Red,LAS,https://lol.fandom.com/wiki/Special:Redirect/file/FG logo.png,1,,0,FGR,Furious Gaming Red
FURY Global,Asia Pacific,https://lol.fandom.com/wiki/Special:Redirect/file/FURY Globallogo square.png,0,,0,FRY,FURY Global
FUT Esports,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/FUT Esportslogo square.png,1,,0,FUT,FUT Esports
Future Perfect,CIS,https://lol.fandom.com/wiki/Special:Redirect/file/Future Perfectlogo square.png,1,,0,FP,Future Perfect
Future Perfect Azure,CIS,https://lol.fandom.com/wiki/Special:Redirect/file/Future Perfect Azurelogo square.png,1,,0,FPA,Future Perfect Azure
Future Perfect Blue,CIS,https://lol.fandom.com/wiki/Special:Redirect/file/Future Perfect Bluelogo square.png,1,,0,FPB,Future Perfect Blue
Future Perfect Demacia,CIS,https://lol.fandom.com/wiki/Special:Redirect/file/Future Perfect Demacialogo square.png,1,,0,FPD,Future Perfect Demacia
Future Perfect Ionia,CIS,https://lol.fandom.com/wiki/Special:Redirect/file/Future Perfect Ionialogo square.png,1,,0,FPI,Future Perfect Ionia
Future Perfect Noxus,CIS,https://lol.fandom.com/wiki/Special:Redirect/file/Future Perfect Noxuslogo square.png,1,,0,FPN,Future Perfect Noxus
Future Perfect Orange,CIS,https://lol.fandom.com/wiki/Special:Redirect/file/Future Perfect Orangelogo square.png,1,,0,FPO,Future Perfect Orange
Future Perfect Purple,CIS,https://lol.fandom.com/wiki/Special:Redirect/file/Future Perfect Purplelogo square.png,1,,0,FPP,Future Perfect Purple
Future Perfect UA,CIS,https://lol.fandom.com/wiki/Special:Redirect/file/Future Perfect UAlogo square.png,1,,0,FPU,Future Perfect UA
Future Perfect Zaun,CIS,https://lol.fandom.com/wiki/Special:Redirect/file/Future Perfect Zaunlogo square.png,1,,0,FPZ,Future Perfect Zaun
FXOpen e-Sports,North America,https://lol.fandom.com/wiki/Special:Redirect/file/FXOpen e-Sportslogo square.png,1,To Be Determined,0,FXO,FXOpen e-Sports
Fylkir Esports,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Fylkir Esportslogo square.png,1,,0,FYL,Fylkir Esports
G-Pride,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/G-Pridelogo square.png,1,,0,GP,G-Pride
G-Rex,Asia Pacific,https://lol.fandom.com/wiki/Special:Redirect/file/G-Rexlogo square.png,1,,0,GRX,G-Rex
G-Rex Infinite,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/G-Rex Infinitelogo square.png,1,,0,GRI,G-Rex Infinite
G2 Arctic,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/G2 Arcticlogo profile.png,1,,0,G2AR,G2 Arctic
G2 Esports,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/G2 Esportslogo profile.png,0,,0,G2,G2 Esports
G2 Hel,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/G2 Hellogo square.png,0,,0,G2H,G2 Hel
G2 Heretics,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/G2 Hereticslogo square.png,1,,0,G2H,G2 Heretics
G2 Vodafone,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/G2 Vodafonelogo square.png,1,,0,G2V,G2 Vodafone
g3nerationX,Brazil,https://lol.fandom.com/wiki/Special:Redirect/file/G3x Logo.png,1,,1,g3x,G3nerationX
Gaia Esports,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Gaia Esportslogo square.png,1,,0,GE,Gaia Esports
Galactic Gamers,LAN,https://lol.fandom.com/wiki/Special:Redirect/file/Galactic Gamerslogo square.png,1,Gaming Gaming,0,GLG,Galactic Gamers
Galakticos,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Galakticoslogo square.png,1,,0,GAL,Galakticos
Galakticos Academy,Turkey,https://lol.fandom.com/wiki/Special:Redirect/file/Galakticos Academylogo square.png,1,,0,GAL.A,Galakticos Academy
Galatasaray Academy,Turkey,https://lol.fandom.com/wiki/Special:Redirect/file/Galatasaray Esportslogo profile.png,1,,0,GS.A,Galatasaray Academy
Galatasaray Esports,Turkey,https://lol.fandom.com/wiki/Special:Redirect/file/Galatasaray Esportslogo profile.png,1,,0,GS,Galatasaray Esports
Galaxy Gaming,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/Galaxy Gaming (American Team)logo square.png,0,,0,GG,Galaxy Gaming (American Team)
Galaxy Racer Esports EU Female,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Galaxy Racer Esports EU Femalelogo square.png,1,Nigma Galaxy,0,GXR.EU,Galaxy Racer Esports EU Female
Galaxy Racer Esports EU Male,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Galaxy Racer Esports EU Malelogo square.png,1,,0,GXR,Galaxy Racer Esports EU Male
Galaxy Racer Esports MENA Female,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Galaxy Racer Esports MENA Femalelogo square.png,1,,0,GXR,Galaxy Racer Esports MENA Female
Galaxy Racer Esports MENA Male,MENA,https://lol.fandom.com/wiki/Special:Redirect/file/Galaxy Racer Esports MENA Malelogo square.png,1,Nigma Galaxy Male,0,GXR,Galaxy Racer Esports MENA Male
Galions,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Galionslogo square.png,0,,0,GL,Galions
Galions Pearl,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Galions Pearllogo square.png,0,,0,GL.P,Galions Pearl
GAM Esports,Asia Pacific,https://lol.fandom.com/wiki/Special:Redirect/file/GAM Esportslogo square.png,0,,0,GAM,GAM Esports
Gama Dream,China,https://lol.fandom.com/wiki/Special:Redirect/file/Gama Dreamlogo profile.png,1,,0,GD,Gama Dream
Gama E-Sport Dream (伽马电子竞技),China,https://lol.fandom.com/wiki/Special:Redirect/file/Gama E-Sport Dreamlogo_square.png,1,,0,GED,Gama E-Sport Dream
Gamania Bears,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/Gama Bears.png,1,GashBears,0,GAB,Gamania Bears
Gambit Esports,CIS,https://lol.fandom.com/wiki/Special:Redirect/file/Gambit Esportslogo profile.png,1,,0,GMB,Gambit Esports
Gambit Gaming,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Gambit_Gaming_Logo.png,1,,0,GMB,Gambit Gaming
Game Changers,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Game Changerslogo square.png,1,Team Phantasma,0,GC,Game Changers
Game Coach Academy,Korea,https://lol.fandom.com/wiki/Special:Redirect/file/Game Coach Academylogo square.png,0,,0,GCA,Game Coach Academy
Game Talents,China,https://lol.fandom.com/wiki/Special:Redirect/file/Game Talentslogo profile.png,1,Team WE Academy,0,GT,Game Talents
Gameburg Team,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Gameburg Teamlogo square.png,1,,0,GBT,Gameburg Team
GameEkstra,Turkey,https://lol.fandom.com/wiki/Special:Redirect/file/Gameekstralogo square.png,1,,0,GE,GameEkstra
Gamefy,China,https://lol.fandom.com/wiki/Special:Redirect/file/Gamefylogo profile.png,1,,0,GFY,Gamefy
gamehoppers.eu,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Gamehoppers.jpg,1,,1,gh,Gamehoppers.eu
Gameplay DNA,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Gameplay DNAlogo square.png,1,,0,DNA,Gameplay DNA
GamerLegion,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/GamerLegionlogo square.png,1,,0,GL,GamerLegion
Gamers2,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Gamers2logo profile.png,1,G2 Esports,0,G2,Gamers2
Gamers404,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Gamers404logo square.png,0,,0,G4,Gamers404
GamersOrigin,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/GamersOriginlogo profile.png,1,Team GO,0,GO,GamersOrigin
GamersOrigin Academy,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/GamersOriginlogo profile.png,1,,0,GO.A,GamersOrigin Academy
Gamespace Mediterranean College Esports,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Gamespace Mediterranean College Esportslogo square.png,0,,0,GSMC,Gamespace Mediterranean College Esports
GameWard,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/GameWardlogo square.png,0,,0,GW,GameWard
GameWard Academy,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/GameWard Academylogo square.png,1,,0,GW.A,GameWard Academy
GameWard Astrals,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/GameWard Astralslogo square.png,1,,0,GWA,GameWard Astrals
Gaming Gaming,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/Gaming Gaminglogo square.png,1,,0,GG,Gaming Gaming
Gaming Team Kravaře,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Gaming Team Kravařelogo square.png,1,,0,GTK,Gaming Team Kravaře
Gaminggear.EU,CIS,https://lol.fandom.com/wiki/Special:Redirect/file/GamingGear.eu.jpg,1,Team Ultra Vires,0,GG.EU,GamingGear.eu
Gamtee,China,https://lol.fandom.com/wiki/Special:Redirect/file/GT logo new.png,1,,0,GT,Gamtee
Garden Gaming,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Garden Gaminglogo square.png,0,,0,GG,Garden Gaming
GashBears,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/GashBearslogo square.png,1,,0,GB,GashBears
GC Busan (2020 Korean Team),Korea,https://lol.fandom.com/wiki/Special:Redirect/file/GC Busan (2020 Korean Team)logo square.png,1,,0,GCB,GC Busan (2020 Korean Team)
GC Busan Ascension,Korea,https://lol.fandom.com/wiki/Special:Redirect/file/GC Busan Ascensionlogo square.png,1,,0,GCA,GC Busan Ascension
GC Busan Rising Star,Korea,https://lol.fandom.com/wiki/Special:Redirect/file/GC Busan Rising Starlogo square.png,1,,0,GCB,GC Busan Rising Star
Geekay Esports,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Geekay Esportslogo square.png,0,,0,GK,Geekay Esports
GeekCase eSports,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/GeekCase eSportslogo square.png,1,,0,GCE,GeekCase eSports
GeekSide Esports,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/GeekSide Esportslogo square.png,1,,0,GSE,GeekSide Esports
Gen.G,Korea,https://lol.fandom.com/wiki/Special:Redirect/file/Gen.Glogo profile.png,0,,0,GEN,Gen.G
Gen.G Global Academy,Korea,https://lol.fandom.com/wiki/Special:Redirect/file/Gen.Glogo profile.png,0,,0,GEN.GA,Gen.G Global Academy
Gen.G Scholars,Korea,https://lol.fandom.com/wiki/Special:Redirect/file/Gen.Glogo profile.png,0,,0,GEN.SC,Gen.G Scholars
Genbu Gaming,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/Genbu Gaminglogo square.png,1,,0,GNGG,Genbu Gaming
Genetics Gap,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Genetics Gaplogo square.png,1,,0,GAP,Genetics Gap
Genius Esports,Vietnam,https://lol.fandom.com/wiki/Special:Redirect/file/Genius Esportslogo profile.png,1,,0,GE,Genius Esports
Gentle Hearts Gaming,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/Gentle Hearts Gaminglogo square.png,0,,0,GHG,Gentle Hearts Gaming
Gentle Mates,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Gentle Mateslogo square.png,0,,0,M8,Gentle Mates
Gentlemen's Academy,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Gentlemen's Academylogo square.png,1,,0,GG.A,Gentlemen's Academy
Gentlemen's Gaming,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Gentlemen's Gaminglogo square.png,1,,0,GGM,Gentlemen's Gaming
Gentside,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Gentsidelogo square.png,1,,0,Gent,Gentside
George Mason University,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/George Mason Universitylogo square.png,0,,0,GMU,George Mason University
Geração Estrutura,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/Geração Estruturalogo square.png,1,Farenvehn,0,GE,Geração Estrutura
German Pingus,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/German Pinguslogo square.png,1,,0,PNGU,German Pingus
GF-Gaming,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/GF-Gaminglogo square.png,1,Kiedys Mialem Team,0,GF,GF-Gaming
GG Call Nash,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/GG_CN_logo.png,1,,0,GG CN,GG Call Nash
GG Esports Academy,North America,https://lol.fandom.com/wiki/Special:Redirect/file/GG Esports Academylogo square.png,1,,0,GGEA,GG Esports Academy
GG&amp;Beer,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/GG&amp;Beerlogo square.png,1,GGEsports,0,GG,GG&amp;Beer
GGEsports,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/GGEsportslogo square.png,1,,0,GGE,GGEsports
GGEsports Academy,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/GGEsports Academylogo square.png,1,,0,GGE.A,GGEsports Academy
Giants,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Giants (Spanish Team)logo profile.png,1,,0,GIA,Giants (Spanish Team)
Giants Academy,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Giants Academylogo square.png,1,,0,GIA.A,Giants Academy
Giants Gaming,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Giants Gaminglogo square.png,1,,0,GIA,Giants Gaming
GIANTX,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/GIANTXlogo profile.png,0,,0,GX,GIANTX
GIANTX Pride,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/GIANTX Academylogo square.png,0,,0,GXP,GIANTX Academy
Gifted Gaming,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Gifted Gaminglogo square.png,1,,0,GFTD,Gifted Gaming
